Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
359,Álvaro Odriozola,es ESP,DF,Real Sociedad,30-039,1995,2,1,89,1.0,1,0,1,1,0,0,0,0,1.01,0.00,1.01,1.01,1.01,Matches
360,Olasagasti,es ESP,MF,Levante,25-159,2000,15,4,481,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
361,Dani Olmo,es ESP,"MF,FW",Barcelona,27-260,1998,15,9,923,10.3,5,2,7,5,0,0,0,0,0.49,0.20,0.68,0.49,0.68,Matches
362,Tani Oluwaseyi,ca CAN,FW,Villarreal,25-252,2000,15,4,491,5.5,2,1,3,2,0,0,0,0,0.37,0.18,0.55,0.37,0.55,Matches
363,Aimar Oroz,es ESP,"MF,FW",Osasuna,24-056,2001,14,12,1036,11.5,0,2,2,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,Matches
364,Ángel Ortíz,es ESP,DF,Real Betis,21-181,2004,7,4,312,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
365,Asier Osambela,es ESP,DF,Osasuna,21-348,2004,7,2,214,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
366,Azzedine Ounahi,ma MAR,MF,Girona,25-278,2000,10,9,780,8.7,3,1,4,3,0,0,5,0,0.35,0.12,0.46,0.35,0.46,Matches
367,Mikel Oyarzabal,es ESP,FW,Real Sociedad,28-276,1997,17,17,1497,16.6,6,3,9,3,3,3,2,0,0.36,0.18,0.54,0.18,0.36,Matches
368,Jon Pacheco,es ESP,DF,Alavés,25-014,2001,14,13,1141,12.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
369,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,31-026,1994,19,17,1425,15.8,2,2,4,0,2,3,6,0,0.13,0.13,0.25,0.00,0.13,Matches
370,Diego Pampín,es ESP,DF,Levante,25-313,2000,5,3,278,3.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
371,Victor Parada,es ESP,DF,Alavés,23-293,2002,16,11,1025,11.4,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches
372,Aitor Paredes,es ESP,DF,Athletic Club,25-268,2000,13,12,1090,12.1,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
