Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Jones El-Abdellaoui,ma MAR,MF,Celta Vigo,20-010,2006,11,1,288,3.2,2,0,2,2,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
2,Abdel Abqar,ma MAR,DF,Getafe,26-318,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches
3,Akor Adams,ng NGA,FW,Sevilla,25-358,2000,15,8,897,10.0,5,2,7,4,1,1,1,0,0.50,0.20,0.70,0.40,0.60,Matches
4,David Affengruber,at AUT,DF,Elche,24-309,2001,19,17,1560,17.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
5,Julen Agirrezabala,es ESP,GK,Valencia,25-027,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,23-347,2002,17,15,1315,14.6,1,2,3,1,0,0,8,0,0.07,0.14,0.21,0.07,0.21,Matches
7,Marc Aguado,es ESP,MF,Elche,25-334,2000,19,16,1327,14.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
8,Pablo Agudín,es ESP,MF,Oviedo,18-075,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,30-357,1995,10,8,775,8.6,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches
10,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-115,1995,3,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Ilias Akhomach,ma MAR,MF,Villarreal,21-281,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,David Alaba,at AUT,DF,Real Madrid,33-212,1992,4,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-296,1998,12,6,586,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
14,Carles Aleñá,es ESP,MF,Alavés,28-017,1998,20,13,1124,12.5,0,3,3,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
15,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-107,1998,8,5,392,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
16,Alfon,es ESP,MF,Sevilla,26-263,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
17,Thiago Almada,ar ARG,MF,Atlético Madrid,24-271,2001,12,5,493,5.5,2,1,3,2,0,0,1,0,0.37,0.18,0.55,0.37,0.55,Matches
18,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-237,2000,13,9,794,8.8,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
19,Marcos Alonso,es ESP,DF,Celta Vigo,35-025,1990,17,16,1433,15.9,1,0,1,0,1,1,2,0,0.06,0.00,0.06,0.00,0.00,Matches
20,Adrià Altimira,es ESP,DF,Villarreal,24-300,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Sergi Altimira,es ESP,MF,Real Betis,24-150,2001,12,7,654,7.3,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
22,Carlos Álvarez,es ESP,MF,Levante,22-169,2003,19,16,1370,15.2,3,1,4,3,0,0,2,0,0.20,0.07,0.26,0.20,0.26,Matches
23,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-204,2003,12,4,471,5.2,2,1,3,2,0,0,2,0,0.38,0.19,0.57,0.38,0.57,Matches
24,Julián Álvarez,ar ARG,FW,Atlético Madrid,25-356,2000,20,19,1433,15.9,7,3,10,5,2,3,2,0,0.44,0.19,0.63,0.31,0.50,Matches
25,Sofyan Amrabat,ma MAR,MF,Real Betis,29-154,1996,8,6,603,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Miguel Ángel Rubio,es ESP,DF,Espanyol,27-317,1998,6,1,138,1.5,1,0,1,1,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches
27,Miguel Ángel Sierra,es ESP,FW,Sevilla,21-192,2004,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Antoniu,es ESP,MF,Espanyol,23-139,2002,7,1,96,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Antony,br BRA,MF,Real Betis,25-332,2000,15,15,1261,14.0,5,4,9,5,0,0,1,1,0.36,0.29,0.64,0.36,0.64,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,30-114,1995,20,20,1768,19.6,3,1,4,3,0,0,3,0,0.15,0.05,0.20,0.15,0.20,Matches
31,Jon Aramburu,ve VEN,DF,Real Sociedad,23-183,2002,18,17,1523,16.9,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches
32,Juan Arango,ve VEN,MF,Girona,19-235,2006,1,0,8,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,26-321,1999,11,7,649,7.2,2,0,2,2,0,0,2,0,0.28,0.00,0.28,0.28,0.28,Matches
34,Jesús Areso,es ESP,DF,Athletic Club,26-204,1999,17,10,1070,11.9,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
35,Iñigo Arguibide,es ESP,DF,Osasuna,20-278,2005,5,2,179,2.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
36,Kervin Arriaga,hn HON,MF,Levante,28-017,1998,15,11,976,10.8,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
37,Takuma Asano,jp JPN,"MF,FW",Mallorca,31-073,1994,13,5,401,4.5,1,0,1,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
38,Raúl Asencio,es ESP,DF,Real Madrid,22-343,2003,14,9,943,10.5,2,0,2,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
39,Iago Aspas,es ESP,"FW,MF",Celta Vigo,38-174,1987,17,8,727,8.1,2,3,5,1,1,1,3,0,0.25,0.37,0.62,0.12,0.50,Matches
40,Yaser Asprilla,co COL,"FW,MF",Girona,22-064,2003,15,6,611,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Lander Astiazaran,es ESP,MF,Real Sociedad,19-290,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Ezequiel Ávila,ar ARG,FW,Real Betis,31-350,1994,8,1,132,1.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
43,César Azpilicueta,es ESP,DF,Sevilla,36-147,1989,9,9,677,7.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Alex Baena,es ESP,MF,Atlético Madrid,24-186,2001,12,9,639,7.1,2,1,3,2,0,0,2,0,0.28,0.14,0.42,0.28,0.42,Matches
45,Eric Bailly,ci CIV,DF,Oviedo,31-285,1994,5,5,413,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Cédric Bakambu,cd COD,FW,Real Betis,34-286,1991,7,0,71,0.8,1,0,1,1,0,0,0,0,1.27,0.00,1.27,1.27,1.27,Matches
47,Alejandro Balde,es ESP,DF,Barcelona,22-096,2003,16,15,1184,13.2,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
48,Iván Balliu,al ALB,DF,Rayo Vallecano,34-021,1992,9,2,255,2.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Roony Bardghji,se SWE,MF,Barcelona,20-068,2005,10,3,253,2.8,1,1,2,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,Matches
50,Kike Barja,es ESP,MF,Osasuna,28-296,1997,15,1,204,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,24-026,2001,18,12,1052,11.7,3,3,6,3,0,0,2,0,0.26,0.26,0.51,0.26,0.51,Matches
52,Pablo Barrios,es ESP,MF,Atlético Madrid,22-221,2003,19,17,1437,16.0,1,1,2,1,0,0,0,0,0.06,0.06,0.13,0.06,0.13,Matches
53,Marc Bartra,es ESP,DF,Real Betis,35-007,1991,16,14,1358,15.1,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
54,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-267,1996,20,20,1800,20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Samu Becerra,es ESP,MF,Rayo Vallecano,20-021,2006,3,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Sheraldo Becker,sr SUR,"FW,MF",Osasuna,30-347,1995,9,0,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Donny van de Beek,nl NED,MF,Girona,28-279,1997,2,1,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Ismael Bekhoucha,ma MAR,DF,Getafe,21-063,2004,4,1,122,1.4,0,1,1,0,0,0,2,0,0.00,0.74,0.74,0.00,0.74,Matches
59,Héctor Bellerín,es ESP,DF,Real Betis,30-309,1995,16,12,1081,12.0,0,2,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
60,Jude Bellingham,eng ENG,MF,Real Madrid,22-207,2003,16,13,1192,13.2,4,3,7,4,0,0,1,0,0.30,0.23,0.53,0.30,0.53,Matches
61,Fran Beltrán,es ESP,MF,Celta Vigo,26-353,1999,10,7,528,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Lucas Beltrán,ar ARG,FW,Valencia,24-299,2001,17,9,766,8.5,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
63,Carlos Benavídez,uy URU,MF,Alavés,27-298,1998,5,0,77,0.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
64,Iker Benito,es ESP,MF,Osasuna,23-165,2002,5,1,150,1.7,1,0,1,1,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches
65,Yuri Berchiche,es ESP,DF,Athletic Club,35-346,1990,17,16,1445,16.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Álex Berenguer,es ESP,MF,Athletic Club,30-202,1995,18,16,1286,14.3,2,2,4,2,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matches
67,Lucas Bergström,fi FIN,GK,Mallorca,23-139,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Marc Bernal,es ESP,MF,Barcelona,18-241,2007,7,1,127,1.4,0,1,1,0,0,0,1,0,0.00,0.71,0.71,0.00,0.71,Matches
69,Pedro Bigas,es ESP,DF,Elche,35-129,1990,15,15,1216,13.5,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
70,Antonio Blanco,es ESP,MF,Alavés,25-183,2000,18,18,1555,17.3,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
71,Daley Blind,nl NED,DF,Girona,35-319,1990,18,17,1492,16.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Adam Boayar,ma MAR,MF,Elche,20-101,2005,4,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Adama Boiro,es ESP,DF,Athletic Club,23-214,2002,6,4,363,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Rahim Bonkano,ne NIG,DF,Oviedo,24-021,2002,19,15,1414,15.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Thiago Borbas,uy URU,FW,Oviedo,23-290,2002,2,0,16,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Lucas Boyé,ar ARG,"FW,MF",Alavés,29-328,1996,14,10,992,11.0,4,0,4,3,1,1,2,1,0.36,0.00,0.36,0.27,0.27,Matches
77,Enzo Boyomo,cm CMR,DF,Osasuna,24-107,2001,17,16,1432,15.9,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches
78,Josip Brekalo,hr CRO,"MF,FW",Oviedo,27-213,1998,13,6,477,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Abel Bretones,es ESP,"MF,DF",Osasuna,25-154,2000,16,15,1350,15.0,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
80,Brugui,es ESP,"MF,FW",Levante,29-079,1996,15,10,896,10.0,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
81,Tajon Buchanan,ca CAN,MF,Villarreal,26-348,1999,18,12,1127,12.5,5,0,5,5,0,0,5,0,0.40,0.00,0.40,0.40,0.40,Matches
82,Ante Budimir,hr CRO,FW,Osasuna,34-184,1991,19,17,1479,16.4,8,0,8,5,3,4,0,0,0.49,0.00,0.49,0.30,0.30,Matches
83,Manu Bueno,es ESP,MF,Sevilla,21-179,2004,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Jorge Cabello,es ESP,DF,Levante,21-272,2004,5,4,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Leandro Cabrera,uy URU,DF,Espanyol,34-219,1991,19,19,1710,19.0,2,0,2,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
86,Calebe,br BRA,MF,Alavés,25-267,2000,13,10,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Fernando Calero,es ESP,DF,Espanyol,30-130,1995,16,14,1286,14.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,29-127,1996,13,11,1011,11.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Dani Calvo,es ESP,DF,Oviedo,31-296,1994,9,7,705,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Dawda Camara,mr MTN,FW,Girona,23-079,2002,2,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,23-073,2002,14,6,647,7.2,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
92,Sergio Camello,es ESP,FW,Rayo Vallecano,24-346,2001,12,4,439,4.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
93,João Cancelo,pt POR,"DF,MF",Barcelona,31-240,1994,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Sergi Cardona,es ESP,DF,Villarreal,26-198,1999,16,10,1002,11.1,0,3,3,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,Matches
95,Fábio Cardoso,pt POR,DF,Sevilla,31-278,1994,3,3,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Johnny Cardoso,us USA,MF,Atlético Madrid,24-124,2001,6,5,304,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
97,David Carmo,ao ANG,DF,Oviedo,26-187,1999,14,12,1092,12.1,1,0,1,1,0,0,7,1,0.08,0.00,0.08,0.08,0.08,Matches
98,Carmona,es ESP,"DF,MF",Sevilla,23-358,2002,18,17,1538,17.1,1,3,4,1,0,0,8,0,0.06,0.18,0.23,0.06,0.23,Matches
99,Sergio Carreira,es ESP,MF,Celta Vigo,25-101,2000,17,15,1374,15.3,2,1,3,2,0,0,1,0,0.13,0.07,0.20,0.13,0.20,Matches
100,Gorka Carrera,es ESP,FW,Real Sociedad,20-252,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Álvaro Carreras,es ESP,DF,Real Madrid,22-305,2003,18,17,1518,16.9,1,1,2,1,0,0,3,1,0.06,0.06,0.12,0.06,0.12,Matches
102,Dani Carvajal,es ESP,DF,Real Madrid,34-011,1992,7,4,376,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Marc Casado,es ESP,MF,Barcelona,22-130,2003,13,6,549,6.1,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
104,Castrin,es ESP,DF,Sevilla,23-021,2003,8,7,603,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Jonny Castro,es ESP,DF,Alavés,31-325,1994,20,20,1748,19.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Catena,es ESP,DF,Osasuna,31-086,1994,19,19,1709,19.0,2,1,3,2,0,0,7,1,0.11,0.05,0.16,0.11,0.16,Matches
107,Santi Cazorla,es ESP,MF,Oviedo,41-040,1984,11,4,432,4.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
108,Dani Ceballos,es ESP,MF,Real Madrid,29-168,1996,12,4,397,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Ilyas Chaira,ma MAR,"MF,FW",Oviedo,24-354,2001,18,15,1126,12.5,1,1,2,1,0,0,1,1,0.08,0.08,0.16,0.08,0.16,Matches
110,Pep Chavarría,es ESP,DF,Rayo Vallecano,27-287,1998,20,19,1732,19.2,1,2,3,1,0,0,4,0,0.05,0.10,0.16,0.05,0.16,Matches
111,Andreas Christensen,dk DEN,DF,Barcelona,29-287,1996,12,3,380,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Víctor Chust,es ESP,DF,Elche,25-323,2000,15,12,1136,12.6,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
113,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31-312,1994,14,10,962,10.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
114,Santiago Colombatto,ar ARG,MF,Oviedo,29-005,1997,16,14,1220,13.6,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
115,Eray Cömert,ch SUI,DF,Valencia,27-352,1998,3,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Santi Comesaña,es ESP,MF,Villarreal,29-109,1996,18,16,1318,14.6,2,2,4,2,0,0,3,1,0.14,0.14,0.27,0.14,0.27,Matches
117,Copete,es ESP,DF,Valencia,26-104,1999,17,15,1409,15.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Thierry Correia,pt POR,"DF,MF",Valencia,26-319,1999,14,12,934,10.4,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
119,Paco Cortés,es ESP,MF,Levante,18-164,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Coba da Costa,es ESP,MF,Getafe,23-180,2002,14,2,348,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Samu Costa,pt POR,MF,Mallorca,25-056,2000,17,14,1274,14.2,3,0,3,3,0,0,7,0,0.21,0.00,0.21,0.21,0.21,Matches
122,David Costas,es ESP,DF,Oviedo,30-302,1995,15,14,1250,13.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Thibaut Courtois,be BEL,GK,Real Madrid,33-256,1992,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Juan Cruz Armada,es ESP,DF,Osasuna,33-178,1992,12,7,580,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Pau Cubarsí,es ESP,DF,Barcelona,19-000,2007,16,16,1382,15.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Cucho,co COL,FW,Real Betis,26-277,1999,19,19,1645,18.3,8,3,11,7,1,1,2,0,0.44,0.16,0.60,0.38,0.55,Matches
127,Pablo Cuñat,es ESP,GK,Levante,23-269,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Arnaut Danjuma,nl NED,"MF,FW",Valencia,28-356,1997,19,14,1182,13.1,3,1,4,3,0,1,0,0,0.23,0.08,0.30,0.23,0.30,Matches
129,Sergi Darder,es ESP,MF,Mallorca,32-031,1993,20,16,1396,15.5,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches
130,Davinchi,es ESP,DF,Getafe,18-098,2007,7,4,429,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Leander Dendoncker,be BEL,MF,Oviedo,30-282,1995,17,15,1311,14.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
132,Nelson Deossa,co COL,MF,Real Betis,25-350,2000,10,5,407,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Bambo Diaby,sn SEN,DF,Elche,28-036,1997,4,1,102,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Mouctar Diakhaby,gn GUI,DF,Valencia,29-034,1996,8,7,543,6.0,1,0,1,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
135,Grady Diangana,cd COD,"MF,FW",Elche,27-278,1998,10,6,401,4.5,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
136,Moussa Diarra,ml MLI,DF,Alavés,25-073,2000,3,3,216,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,26-172,1999,12,3,319,3.5,0,2,2,0,0,0,1,0,0.00,0.56,0.56,0.00,0.56,Matches
138,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,27-231,1998,17,12,994,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Stole Dimitrievski,mk MKD,GK,Valencia,32-028,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Matías Dituro,ar ARG,GK,Elche,38-259,1987,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Djené,tg TOG,"DF,MF",Getafe,34-022,1991,19,17,1404,15.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Marko Dmitrović,rs SRB,GK,Espanyol,33-363,1992,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Tyrhys Dolan,eng ENG,MF,Espanyol,24-025,2001,19,16,1360,15.1,0,3,3,0,0,0,3,1,0.00,0.20,0.20,0.00,0.20,Matches
144,Marc Domenech,es ESP,MF,Mallorca,20-021,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches
145,Carlos Dominguez,es ESP,DF,Celta Vigo,24-345,2001,6,4,436,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
146,John Donald,es ESP,"DF,MF",Elche,25-145,2000,11,3,303,3.4,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches
147,Domingos Duarte,pt POR,DF,Getafe,30-318,1995,17,17,1444,16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Pablo Durán,es ESP,"FW,MF",Celta Vigo,24-242,2001,16,9,822,9.1,2,1,3,2,0,0,0,0,0.22,0.11,0.33,0.22,0.33,Matches
149,Hugo Duro,es ESP,FW,Valencia,26-073,1999,19,12,1143,12.7,6,0,6,6,0,0,4,0,0.47,0.00,0.47,0.47,0.47,Matches
150,Ovie Ejaria,eng ENG,MF,Oviedo,28-065,1997,7,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,28-020,1998,13,4,418,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches
152,Unai Elgezabal,es ESP,"DF,MF",Levante,32-272,1993,11,11,932,10.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Aritz Elustondo,es ESP,DF,Real Sociedad,31-300,1994,8,4,337,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Endrick,br BRA,FW,Real Madrid,19-185,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Aarón Escandell,es ESP,GK,Oviedo,30-117,1995,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Carlos Espí,es ESP,FW,Levante,20-182,2005,8,0,157,1.7,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
157,Alfonso Espino,uy URU,"MF,DF",Rayo Vallecano,34-017,1992,14,4,454,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
158,Marco Esteban,es ESP,DF,Oviedo,20-021,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Karl Etta Eyong,cm CMR,FW,Villarreal,22-100,2003,3,3,256,2.8,1,2,3,1,0,0,0,0,0.35,0.70,1.05,0.35,1.05,Matches
